         136450955 function calls (133398617 primitive calls) in 99.381 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   625915    0.272    0.000    1.018    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\series.py:718(_values)
  2314957    0.707    0.000    0.961    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\indexes\range.py:892(__len__)
   357944    0.289    0.000    0.945    0.000 {built-in method builtins.any}
    89550    0.259    0.000    0.943    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\blocks.py:164(_consolidate_key)
   268841    0.324    0.000    0.941    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\concat.py:696(<genexpr>)
   250346    0.394    0.000    0.930    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\blocks.py:2401(check_ndim)
   340496    0.534    0.000    0.927    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\blocks.py:2305(maybe_coerce_values)
   119200    0.523    0.000    0.923    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\concat.py:411(needs_filling)
   524669    0.396    0.000    0.901    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\common.py:1435(_is_dtype)
    29850    0.402    0.000    0.899    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\construction.py:616(_extract_index)
   125173    0.174    0.000    0.890    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\numpy\core\_ufunc_config.py:430(__enter__)
   334123    0.305    0.000    0.874    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\common.py:296(maybe_iterable_to_list)
   250948    0.342    0.000    0.872    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\inference.py:267(is_dict_like)
   365322    0.353    0.000    0.868    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\construction.py:644(_sanitize_ndim)
   375569    0.313    0.000    0.855    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\base.py:58(_validate_set_axis)
    60300    0.210    0.000    0.830    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\cast.py:1171(maybe_infer_to_datetimelike)
   430046    0.633    0.000    0.826    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\blocks.py:2334(get_block_type)
